URL,종류,소스,방문목적,핵심행동,운영상태,색인의도,확인상태,title,H1,canonical,로컬수정후title,문제증거,처리,우선순위,변경위험,테스트
https://dsgnyeh.art/,대표 페이지,src/app/page.tsx,무엇을 맡길 수 있나?,사례·제작 범위·문의,200,index,HTTP + 초기 HTML/DOM + 4폭 시각,소규모 사업자를 위한 홈페이지 제작 · designYEH,"당신이 쌓아온 일에, 필요한 다음을 만듭니다.",https://dsgnyeh.art/,소규모 사업자를 위한 홈페이지 제작 · designYEH,F01/F04: 추상 첫 화면·외부 사례 링크만,즉시 수정,P1,낮음,before-after/*/audit.json; validation.json; live/redirect-headers.json
https://dsgnyeh.art/homepage-production/,대표 페이지,src/app/homepage-production/page.tsx,어디까지 제작하고 무엇을 준비하나?,범위·과정·FAQ→문의,200,index,HTTP + 초기 HTML/DOM + 4폭 시각,소규모 사업자를 위한 홈페이지 제작 · designYEH,소규모 사업자를 위한 홈페이지 제작,https://dsgnyeh.art/homepage-production/,홈페이지 기획·디자인·제작 · designYEH,F02: 홈과 title/description 중복,즉시 수정,P1,낮음,before-after/*/audit.json; validation.json; live/redirect-headers.json
https://dsgnyeh.art/brand-identity/,대표 페이지,src/app/brand-identity/page.tsx,로고·웹을 함께 의뢰할 수 있나?,관련 작업·FAQ→브랜드 상담,200,index,HTTP + 초기 HTML/DOM + 4폭 시각,브랜드 아이덴티티 디자인 · 로고와 웹 적용 · designYEH,브랜드 아이덴티티 디자인 · 로고와 웹 적용,https://dsgnyeh.art/brand-identity/,브랜드 아이덴티티 디자인 · 로고와 웹 적용 · designYEH,F03/F04: 홈페이지 전용 CTA·내부 진입 부족,즉시 수정,P1,낮음,before-after/*/audit.json; validation.json; live/redirect-headers.json
https://dsgnyeh.art/operations-automation/,대표 페이지,src/app/operations-automation/page.tsx,자동화 가능 업무와 비AI 대안은?,판단 기준·준비→자동화 상담,200,index,HTTP + 초기 HTML/DOM + 4폭 시각,문의 이후 운영 자동화 · 사람의 승인과 수동 대체 · designYEH,문의 이후 운영 자동화 · 사람의 승인과 수동 대체,https://dsgnyeh.art/operations-automation/,문의 이후 운영 자동화 · 사람의 승인과 수동 대체 · designYEH,F03/F06: 홈페이지 CTA·판단 질문 부재,즉시 수정,P1,낮음,before-after/*/audit.json; validation.json; live/redirect-headers.json
https://dsgnyeh.art/pricing/,대표 페이지,src/app/pricing/page.tsx,비용·수정·유지관리 조건은?,승인 조건 확인→문의,200,index,HTTP + 초기 HTML/DOM + 4폭 시각,홈페이지 제작 가격 및 이용 안내 · designYEH,"필요한 범위는 명확하게, 비용은 이해하기 쉽게.",https://dsgnyeh.art/pricing/,홈페이지 제작 가격 및 이용 안내 · designYEH,M01: 최신 저장소 승인 가격 근거,유지,—,없음,before-after/*/audit.json; validation.json; live/redirect-headers.json
https://dsgnyeh.art/contact/,대표 페이지,src/app/contact/page.tsx,무엇을 보내고 어디로 연락하나?,기존 이메일·카카오,200,index,HTTP + 초기 HTML/DOM + 4폭 시각,홈페이지 제작 문의 · designYEH,홈페이지 제작 문의하기,https://dsgnyeh.art/contact/,홈페이지 제작 문의 · designYEH,F03: 다른 서비스 상담 준비 안내 없음,즉시 수정,P1,낮음,before-after/*/audit.json; validation.json; live/redirect-headers.json
https://dsgnyeh.art/about/,JS 별칭,src/app/about/page.tsx,스튜디오는 어떻게 일하나?,/#approach,200,noindex,HTTP + 초기 HTML/DOM + 4폭 시각,소규모 사업자를 위한 홈페이지 제작 · designYEH,스튜디오의 작업 방식,https://dsgnyeh.art/,소규모 사업자를 위한 홈페이지 제작 · designYEH,O02: JS redirect stub; no-JS fallback,유지,P2,없음,before-after/*/audit.json; validation.json; live/redirect-headers.json
https://dsgnyeh.art/portfolio/,JS 별칭,src/app/portfolio/page.tsx,작업 사례는?,/#works,200,noindex,HTTP + 초기 HTML/DOM + 4폭 시각,소규모 사업자를 위한 홈페이지 제작 · designYEH,designYEH 제작 사례,https://dsgnyeh.art/,소규모 사업자를 위한 홈페이지 제작 · designYEH,O02: JS redirect stub; no-JS fallback,유지,P2,없음,before-after/*/audit.json; validation.json; live/redirect-headers.json
https://dsgnyeh.art/404.html,오류 경로,src/app/not-found.tsx,없는 주소에서 어디로 가나?,/,200,noindex,HTTP + 초기 HTML/DOM + 4폭 시각,소규모 사업자를 위한 홈페이지 제작 · designYEH,404,https://dsgnyeh.art/,소규모 사업자를 위한 홈페이지 제작 · designYEH,O03: 직접 200; noindex/index 혼재,운영 승인 필요,P2,운영 설정 변경 시 중간,before-after/*/audit.json; validation.json; live/redirect-headers.json
https://dsgnyeh.art/robots.txt,리소스,public/robots.txt,리소스 확인,대표 URL 사용,200,페이지 아님,HTTP 확인,,,,,정책 유지,유지,—,없음,before-after/*/audit.json; validation.json; live/redirect-headers.json
https://dsgnyeh.art/sitemap.xml,리소스,public/sitemap.xml,리소스 확인,대표 URL 사용,200,페이지 아님,HTTP 확인,,,,,정책 유지,유지,—,없음,before-after/*/audit.json; validation.json; live/redirect-headers.json
https://dsgnyeh.art/llms.txt,리소스,public/llms.txt,리소스 확인,대표 URL 사용,200,페이지 아님,HTTP 확인,,,,,정책 유지,유지,—,없음,before-after/*/audit.json; validation.json; live/redirect-headers.json
https://dsgnyeh.art/homepage-production,HTTP 별칭,운영 주소 변형 점검,주소 정규화 확인,대표 URL 사용,301→200 (별도 HEAD 확인),대표 URL 통합,HTTP 확인,,,,,301 한 번 후 slash URL,유지,—,없음,before-after/*/audit.json; validation.json; live/redirect-headers.json
https://dsgnyeh.art/brand-identity,HTTP 별칭,운영 주소 변형 점검,주소 정규화 확인,대표 URL 사용,301→200 (별도 HEAD 확인),대표 URL 통합,HTTP 확인,,,,,301 한 번 후 slash URL,유지,—,없음,before-after/*/audit.json; validation.json; live/redirect-headers.json
https://dsgnyeh.art/operations-automation,HTTP 별칭,운영 주소 변형 점검,주소 정규화 확인,대표 URL 사용,301→200 (별도 HEAD 확인),대표 URL 통합,HTTP 확인,,,,,301 한 번 후 slash URL,유지,—,없음,before-after/*/audit.json; validation.json; live/redirect-headers.json
https://dsgnyeh.art/pricing,HTTP 별칭,운영 주소 변형 점검,주소 정규화 확인,대표 URL 사용,301→200 (별도 HEAD 확인),대표 URL 통합,HTTP 확인,,,,,301 한 번 후 slash URL,유지,—,없음,before-after/*/audit.json; validation.json; live/redirect-headers.json
https://dsgnyeh.art/contact,HTTP 별칭,운영 주소 변형 점검,주소 정규화 확인,대표 URL 사용,301→200 (별도 HEAD 확인),대표 URL 통합,HTTP 확인,,,,,301 한 번 후 slash URL,유지,—,없음,before-after/*/audit.json; validation.json; live/redirect-headers.json
https://dsgnyeh.art/about,HTTP 별칭,운영 주소 변형 점검,주소 정규화 확인,대표 URL 사용,301→200 (별도 HEAD 확인),대표 URL 통합,HTTP 확인,,,,,301 한 번 후 slash URL,유지,—,없음,before-after/*/audit.json; validation.json; live/redirect-headers.json
https://dsgnyeh.art/portfolio,HTTP 별칭,운영 주소 변형 점검,주소 정규화 확인,대표 URL 사용,301→200 (별도 HEAD 확인),대표 URL 통합,HTTP 확인,,,,,301 한 번 후 slash URL,유지,—,없음,before-after/*/audit.json; validation.json; live/redirect-headers.json
https://dsgnyeh.art/audit-missing-page/,오류 경로,운영 주소 변형 점검,주소 정규화 확인,대표 URL 사용,404,페이지 아님,HTTP 확인,,,,,없는 경로 실제 404,유지,—,없음,before-after/*/audit.json; validation.json; live/redirect-headers.json
https://dsgnyeh.art/#approach,앵커,/; /about/; /brand-identity/; /contact/; /homepage-production/; /operations-automation/; /portfolio/; /pricing/,페이지 내 정보/작품 탐색,해당 섹션 읽기,부모 문서 200,독립 URL 아님,DOM id 및 내부 링크 검사,소규모 사업자를 위한 홈페이지 제작 · designYEH,"당신이 쌓아온 일에, 필요한 다음을 만듭니다.",https://dsgnyeh.art/,,,유지,—,,validation.json
https://dsgnyeh.art/#faq,앵커,/; /about/; /brand-identity/; /contact/; /homepage-production/; /operations-automation/; /portfolio/; /pricing/,페이지 내 정보/작품 탐색,해당 섹션 읽기,부모 문서 200,독립 URL 아님,DOM id 및 내부 링크 검사,소규모 사업자를 위한 홈페이지 제작 · designYEH,"당신이 쌓아온 일에, 필요한 다음을 만듭니다.",https://dsgnyeh.art/,,,유지,—,,validation.json
https://dsgnyeh.art/#process,앵커,/; /about/; /brand-identity/; /contact/; /homepage-production/; /operations-automation/; /portfolio/; /pricing/,페이지 내 정보/작품 탐색,해당 섹션 읽기,부모 문서 200,독립 URL 아님,DOM id 및 내부 링크 검사,소규모 사업자를 위한 홈페이지 제작 · designYEH,"당신이 쌓아온 일에, 필요한 다음을 만듭니다.",https://dsgnyeh.art/,,,유지,—,,validation.json
https://dsgnyeh.art/#services,앵커,/; /about/; /brand-identity/; /contact/; /homepage-production/; /operations-automation/; /portfolio/; /pricing/,페이지 내 정보/작품 탐색,해당 섹션 읽기,부모 문서 200,독립 URL 아님,DOM id 및 내부 링크 검사,소규모 사업자를 위한 홈페이지 제작 · designYEH,"당신이 쌓아온 일에, 필요한 다음을 만듭니다.",https://dsgnyeh.art/,,,유지,—,,validation.json
